2014-12-15 02:13:22:0419, setup_loaddata_begin
2014-12-15 02:13:24:0682, setup_loaddata_end
2014-12-15 02:13:24:0728, setup_createactions_begin
2014-12-15 02:13:24:0900, setup_createactions_end
2014-12-15 02:13:32:0513, search_update, regex
2014-12-15 02:13:39:0174, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0190, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0205, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0221, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0236, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0252, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0252, list_mousemoved, id=60160, type=1
2014-12-15 02:13:39:0268, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0299, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0299, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0314, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0330, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0346, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0361, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0377, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0392, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0408, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0408, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0439, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0455, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0470, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0486, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0502, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0517, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0533, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0533, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0564, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0580, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0595, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0611, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0626, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0626, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0642, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0658, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0673, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0689, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0704, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0736, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0767, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0798, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0829, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0845, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0860, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0876, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0892, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0907, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0923, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0938, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0954, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0954, list_mousemoved, id=22115, type=1
2014-12-15 02:13:39:0985, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0001, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0016, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0266, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0344, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0360, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0375, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0406, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0422, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0438, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0453, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0469, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0484, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0500, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0516, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0531, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0547, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0547, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0578, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0594, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0609, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0625, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0640, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0640, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0656, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0672, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0687, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0703, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0718, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0734, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0750, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0765, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0781, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0796, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0812, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0828, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0843, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0859, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0874, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0890, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0890, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0906, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0921, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0937, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0952, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0984, list_mousemoved, id=22115, type=1
2014-12-15 02:13:40:0999, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0015, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0030, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0046, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0062, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0077, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0093, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0108, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0124, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0140, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0155, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0171, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0187, list_mousemoved, id=22115, type=1
2014-12-15 02:13:41:0202, list_mousemoved, id=22115, type=1
2014-12-15 02:13:46:0009, list_mousemoved, id=22115, type=1
2014-12-15 02:13:46:0025, list_mousemoved, id=22115, type=1
2014-12-15 02:13:46:0040, list_mousemoved, id=22115, type=1
2014-12-15 02:13:46:0056, list_mousemoved, id=22115, type=1
2014-12-15 02:13:51:0188, list_pattern_itemclicked, id=22115, type=1
2014-12-15 02:13:51:0625, edge_create, Tuple[0,1,0.2284648523800472,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0625, answer_create, 22132
2014-12-15 02:13:51:0625, edge_create, Tuple[1,2,0.631359383449783,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0625, answer_create, 22133
2014-12-15 02:13:51:0625, edge_create, Tuple[1,3,0.49593582016815974,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0625, answer_create, 22142
2014-12-15 02:13:51:0641, edge_create, Tuple[1,4,0.7208339618047689,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 22163
2014-12-15 02:13:51:0641, edge_create, Tuple[1,5,0.904513150962408,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 245381
2014-12-15 02:13:51:0641, edge_create, Tuple[1,6,0.8507396311202303,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 280105
2014-12-15 02:13:51:0641, edge_create, Tuple[1,7,0.6760999032667486,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 412989
2014-12-15 02:13:51:0641, edge_create, Tuple[1,8,0.2287403185795096,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 1590630
2014-12-15 02:13:51:0641, edge_create, Tuple[1,9,0.39485796961595143,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, answer_create, 12151715
2014-12-15 02:13:51:0641, edge_create, Tuple[1,10,0.38519831564567064,4,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, edge_create, Tuple[0,11,0.3581168992624698,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0641, edge_create, Tuple[11,12,0.6944230049948146,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0658, edge_create, Tuple[11,13,0.41320104089380594,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0674, edge_create, Tuple[11,14,0.9625701154932381,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0674, edge_create, Tuple[11,15,0.2616551598399929,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0689, edge_create, Tuple[11,16,0.22608012831787871,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0689, edge_create, Tuple[11,17,0.19428587669747455,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0705, edge_create, Tuple[11,18,0.7677383406502749,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0705, edge_create, Tuple[11,19,0.6311452878722023,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0721, edge_create, Tuple[11,20,0.8979389831102074,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0736, edge_create, Tuple[11,21,0.27479179717566427,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0736, edge_create, Tuple[11,22,0.21283370578502203,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0752, edge_create, Tuple[11,23,0.003220246719506825,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0752, edge_create, Tuple[11,24,0.665650477102906,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0767, edge_create, Tuple[11,25,0.20673926931872977,1,0.0,1418670802950,1418670802950]
2014-12-15 02:13:51:0799, discussion_open, 22115
2014-12-15 02:13:52:0175, list_mouseexited
2014-12-15 02:13:52:0175, list_mouseentered, type=detailAnswersList
2014-12-15 02:13:52:0893, list_mouseexited, type=detailAnswersList
2014-12-15 02:13:54:0751, diag_detail_itementered, id=0.49593582016815974, type=4
2014-12-15 02:13:54:0813, diag_detail_itemexited, id=0.49593582016815974, type=4
2014-12-15 02:13:54:0813, diag_detail_itementered, id=-1654762710, type=3
2014-12-15 02:13:54:0845, diag_detail_itemexited, id=-1654762710, type=3
2014-12-15 02:13:54:0969, diag_detail_itementered, id=0.2284648523800472, type=4
2014-12-15 02:13:55:0001, diag_detail_itemexited, id=0.2284648523800472, type=4
2014-12-15 02:13:55:0157, diag_detail_itementered, id=22115, type=1
2014-12-15 02:13:57:0216, diag_detail_itemexited, id=22115, type=1
2014-12-15 02:13:57:0793, diag_detail_itementered, id=22115, type=1
2014-12-15 02:14:16:0063, diag_detail_itemexited, id=22115, type=1
2014-12-15 02:14:16:0188, diag_detail_itementered, id=0.38519831564567064, type=4
2014-12-15 02:14:16:0219, diag_detail_itemexited, id=0.38519831564567064, type=4
2014-12-15 02:14:23:0083, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:23:0083, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:23:0083, diag_detail_itementered, id=22132, type=20
2014-12-15 02:14:24:0518, diag_detail_itemexited, id=22132, type=20
2014-12-15 02:14:25:0439, answer_open, VisualItem[tree.nodes,3,id=22133,type=21,title=,body=<p><strong>Edit:</strong> </p>

<p>As mentioned in the comments, there is a library available at Google Code to acheive this:
<a href="http://code.google.com/p/xeger">http://code.google.com/p/xeger</a></p>

<p><strong>Original message:</strong></p>

<p>Firstly, with a complex enough regexp, i beleive this can be impossible. But you should be able to put something together for simple regexps.</p>

<p>If you take a look at the source code of the class java.util.regex.Pattern, you'll see that it uses an internal representation of Node instances. Each of the different pattern components have their own implementation of a Node subclass. These Nodes are organised into a tree.</p>

<p>By producing a visitor that traverses this tree, you should be able to call an overloaded generator method or some kind of Builder that cobbles something together.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=10,searchfield=]
2014-12-15 02:14:25:0439, answer_open, VisualItem[tree.nodes,3,id=22133,type=21,title=,body=<p><strong>Edit:</strong> </p>

<p>As mentioned in the comments, there is a library available at Google Code to acheive this:
<a href="http://code.google.com/p/xeger">http://code.google.com/p/xeger</a></p>

<p><strong>Original message:</strong></p>

<p>Firstly, with a complex enough regexp, i beleive this can be impossible. But you should be able to put something together for simple regexps.</p>

<p>If you take a look at the source code of the class java.util.regex.Pattern, you'll see that it uses an internal representation of Node instances. Each of the different pattern components have their own implementation of a Node subclass. These Nodes are organised into a tree.</p>

<p>By producing a visitor that traverses this tree, you should be able to call an overloaded generator method or some kind of Builder that cobbles something together.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=10,searchfield=]
2014-12-15 02:14:25:0439, diag_detail_itementered, id=22133, type=21
2014-12-15 02:14:25:0657, diag_detail_itemexited, id=22133, type=21
2014-12-15 02:14:26:0016, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:26:0016, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:26:0031, diag_detail_itementered, id=22132, type=20
2014-12-15 02:14:26:0361, diag_detail_itemclicked, id=22132, type=20
2014-12-15 02:14:27:0547, diag_detail_itemexited, id=22132, type=20
2014-12-15 02:14:28:0607, diag_detail_itementered, id=0.7208339618047689, type=4
2014-12-15 02:14:28:0639, diag_detail_itemexited, id=0.7208339618047689, type=4
2014-12-15 02:14:28:0670, diag_detail_itementered, id=0.49593582016815974, type=4
2014-12-15 02:14:28:0701, diag_detail_itemexited, id=0.49593582016815974, type=4
2014-12-15 02:14:29:0341, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:29:0341, answer_open, VisualItem[tree.nodes,2,id=22132,type=20,title=,body=<p>You'll have to write your own parser, like the author of String::Random (Perl) did. In fact, he doesn't use regexes anywhere in that module, it's just what perl-coders are used to.</p>

<p>On the other hand, maybe you can have a look at <a href="http://search.cpan.org/~steve/String-Random-0.20/Random.pm" rel="nofollow">the source</a>, to get some pointers.</p>

<p><hr /></p>

<p>EDIT: Damn, blair beat me to the punch by 15 seconds.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=1,searchfield=]
2014-12-15 02:14:29:0341, diag_detail_itementered, id=22132, type=20
2014-12-15 02:14:29:0918, diag_detail_itemclicked, id=22132, type=20
2014-12-15 02:14:30:0495, diag_detail_itemexited, id=22132, type=20
2014-12-15 02:14:30:0573, answer_open, VisualItem[tree.nodes,4,id=22142,type=20,title=,body=<p>Visual Studio Team System does include something like this <a href="http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx" rel="nofollow">http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx</a></p>

<p>Not much help for Java though, so sorry.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=3,searchfield=]
2014-12-15 02:14:30:0589, answer_open, VisualItem[tree.nodes,4,id=22142,type=20,title=,body=<p>Visual Studio Team System does include something like this <a href="http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx" rel="nofollow">http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx</a></p>

<p>Not much help for Java though, so sorry.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=3,searchfield=]
2014-12-15 02:14:30:0589, diag_detail_itementered, id=22142, type=20
2014-12-15 02:14:30:0635, diag_detail_itemexited, id=22142, type=20
2014-12-15 02:14:31:0213, answer_open, VisualItem[tree.nodes,4,id=22142,type=20,title=,body=<p>Visual Studio Team System does include something like this <a href="http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx" rel="nofollow">http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx</a></p>

<p>Not much help for Java though, so sorry.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=3,searchfield=]
2014-12-15 02:14:31:0213, answer_open, VisualItem[tree.nodes,4,id=22142,type=20,title=,body=<p>Visual Studio Team System does include something like this <a href="http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx" rel="nofollow">http://msdn.microsoft.com/en-us/library/aa833197(VS.80).aspx</a></p>

<p>Not much help for Java though, so sorry.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=3,searchfield=]
2014-12-15 02:14:31:0213, diag_detail_itementered, id=22142, type=20
2014-12-15 02:14:31:0587, diag_detail_itemclicked, id=22142, type=20
2014-12-15 02:14:32:0024, diag_detail_itemexited, id=22142, type=20
2014-12-15 02:14:32:0195, answer_open, VisualItem[tree.nodes,5,id=22163,type=20,title=,body=<p>On stackoverflow podcast 11:</p>

<blockquote>
  <p>Spolsky:  Yep.  There's a new product also, if you don't want to use the Team System there our friends at Redgate have a product called SQL Data Generator [<a href="http://www.red-gate.com/products/sql_data_generator/index.htm" rel="nofollow">http://www.red-gate.com/products/sql_data_generator/index.htm</a>].  It's $295, and it just generates some realistic test data.  And it does things like actually generate real cities in the city column that actually exist, and then when it generates those it'll get the state right, instead of getting the state wrong, or putting states into German cities and stuff like... you know, it generates pretty realistic looking data.  I'm not really sure what all the features are.</p>
</blockquote>

<p>This is probably not what you are looking for, but it might be a good starting off point, instead of creating your own.</p>

<p>I can't seem to find anything in google, so I would suggest tackling the problem by parsing a given regular expression into the smallest units of work (\w, [x-x], \d, etc) and writing some basic methods to support those regular expression phrases.</p>

<p>So for \w you would have a method getRandomLetter() which returns any random letter, and you would also have getRandomLetter(char startLetter, char endLetter) which gives you a random letter between the two values.</p>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418670802950L,lastactivitydate=0L,tags=,score=3,searchfield=]
2014-12-15 02:14:32:0211, answer_open, VisualItem[tree.nodes,5,id=22163,type=20,title=,body=<p>On stackoverflow podcast 11:</p>

<blockquote>
  <p>Spolsky:  Yep.  There's a new product also, if you don't want to use the Team System there our friends at Redgate have a product called SQL Data Generator [<a href="http://www.red-gate.com/products/sql_data_generator/index.htm" rel="nofollow">http://www.red-gate.com/products/sql_data_generator/index.htm</a>].  It's $295, and it just generates some realistic test data.  And it does things like actually generate real cities in the city column that actually exist, and then when it generates those it'll get the state right, instead of getting the state wrong, or putting states into German cities and stuff like... you know, it generates pretty realistic looking data.  I'm not really sure what all the features are.</p>
</blockquote>

<p>This is probably not what you are looking for, but it might be a good starting off point, instead of creating your own.</p>

