2014-12-08 06:41:36:0008, setup_loaddata_begin
2014-12-08 06:41:38:0254, setup_loaddata_end
2014-12-08 06:41:38:0301, setup_createactions_begin
2014-12-08 06:41:38:0488, setup_createactions_end
2014-12-08 06:41:54:0416, search_update, XML
2014-12-08 06:42:14:0790, diag_itemexited, id=35785, type=1
2014-12-08 06:42:15:0866, diag_itementered, id=35785, type=1
2014-12-08 06:42:16:0771, diag_itemexited, id=35785, type=1
2014-12-08 06:42:17:0239, diag_itementered, id=19893, type=1
2014-12-08 06:42:17:0286, diag_itemexited, id=19893, type=1
2014-12-08 06:42:19:0532, diag_itementered, id=35785, type=1
2014-12-08 06:42:27:0816, diag_itemexited, id=35785, type=1
2014-12-08 06:42:28:0175, diag_itementered, id=19893, type=1
2014-12-08 06:42:31:0919, diag_itemexited, id=19893, type=1
2014-12-08 06:42:32:0324, diag_itementered, id=123, type=1
2014-12-08 06:42:33:0323, diag_itemexited, id=123, type=1
2014-12-08 06:42:33:0806, diag_itementered, id=19893, type=1
2014-12-08 06:42:33:0869, diag_itemexited, id=19893, type=1
2014-12-08 06:42:34:0851, diag_itementered, id=35785, type=1
2014-12-08 06:42:42:0215, diag_itemexited, id=35785, type=1
2014-12-08 06:42:42:0480, diag_itementered, id=35785, type=1
2014-12-08 06:42:43:0182, diag_itemexited, id=35785, type=1
2014-12-08 06:42:43:0572, diag_itementered, id=123, type=1
2014-12-08 06:42:43:0619, diag_itemexited, id=123, type=1
2014-12-08 06:42:43:0837, diag_itementered, id=123, type=1
2014-12-08 06:42:49:0032, diag_itemexited, id=123, type=1
2014-12-08 06:42:49:0531, diag_itementered, id=123, type=1
2014-12-08 06:42:50:0405, diag_itemexited, id=123, type=1
2014-12-08 06:42:51:0076, diag_itementered, id=35785, type=1
2014-12-08 06:43:16:0847, diag_itemexited, id=35785, type=1
2014-12-08 06:43:17:0003, list_mouseentered, id=15899, type=1
2014-12-08 06:43:17:0003, list_mousemoved, id=15899, type=1
2014-12-08 06:43:17:0034, list_mousemoved, id=19893, type=1
2014-12-08 06:43:17:0050, list_mousemoved, id=123, type=1
2014-12-08 06:43:17:0081, list_mousemoved, id=33262, type=1
2014-12-08 06:43:17:0097, list_mouseexited
2014-12-08 06:43:24:0850, search_update, networking
2014-12-08 06:43:28:0173, list_mouseentered, id=33960, type=1
2014-12-08 06:43:28:0173, list_mousemoved, id=33960, type=1
2014-12-08 06:43:28:0204, list_mousemoved, id=33960, type=1
2014-12-08 06:43:28:0220, list_mousemoved, id=33960, type=1
2014-12-08 06:43:28:0235, list_mousemoved, id=33960, type=1
2014-12-08 06:43:28:0235, list_mousemoved, id=33960, type=1
2014-12-08 06:43:28:0266, list_mousemoved, id=62929, type=1
2014-12-08 06:43:28:0282, list_mousemoved, id=62929, type=1
2014-12-08 06:43:28:0298, list_mousemoved, id=62929, type=1
2014-12-08 06:43:28:0313, list_mousemoved, id=62929, type=1
2014-12-08 06:43:28:0329, list_mousemoved, id=62929, type=1
2014-12-08 06:43:28:0344, list_mouseexited
2014-12-08 06:43:32:0837, diag_itementered, id=62929, type=1
2014-12-08 06:43:34:0148, diag_itemexited, id=62929, type=1
2014-12-08 06:43:34:0974, diag_itementered, id=33960, type=1
2014-12-08 06:43:35:0333, diag_itemexited, id=33960, type=1
2014-12-08 06:43:36:0441, diag_itementered, id=62929, type=1
2014-12-08 06:43:44:0584, diag_itemexited, id=62929, type=1
2014-12-08 06:43:44:0818, list_mouseentered, id=62929, type=1
2014-12-08 06:43:44:0818, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0834, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0849, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0865, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0881, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0896, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0912, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0927, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0943, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0959, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0974, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0974, list_mousemoved, id=62929, type=1
2014-12-08 06:43:44:0990, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0005, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0021, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0037, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0037, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0052, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0068, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0161, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0177, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0193, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0208, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0224, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0239, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0271, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0286, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0302, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0317, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0427, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0442, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0458, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0473, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0489, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0505, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0520, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0536, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0551, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0567, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0583, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0598, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0614, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0629, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0645, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0661, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0785, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0817, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0832, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0848, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0863, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0879, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0895, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0957, list_mousemoved, id=62929, type=1
2014-12-08 06:43:45:0973, list_mousemoved, id=62929, type=1
2014-12-08 06:43:47:0096, list_pattern_itemclicked, id=62929, type=1
2014-12-08 06:43:47:0689, edge_create, Tuple[0,1,0.8296491101045935,4,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0704, answer_create, 62996
2014-12-08 06:43:47:0704, edge_create, Tuple[1,2,0.23214912115176722,4,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0704, answer_create, 63155
2014-12-08 06:43:47:0704, edge_create, Tuple[1,3,0.05316507196719378,4,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0704, answer_create, 5452194
2014-12-08 06:43:47:0704, edge_create, Tuple[1,4,0.0417779432871227,4,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0704, answer_create, 4300803
2014-12-08 06:43:47:0720, edge_create, Tuple[1,5,0.07702419853681597,4,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0720, edge_create, Tuple[0,6,0.949181707892248,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0720, edge_create, Tuple[6,7,0.9814245073813122,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0735, edge_create, Tuple[6,8,0.41367032923158253,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0737, edge_create, Tuple[6,9,0.5965652978783748,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0737, edge_create, Tuple[6,10,0.37158581099934407,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0753, edge_create, Tuple[6,11,0.1995838320571076,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0753, edge_create, Tuple[6,12,0.9296960821823755,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0769, edge_create, Tuple[6,13,0.9378561363033344,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0769, edge_create, Tuple[6,14,0.03827646264492546,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0784, edge_create, Tuple[6,15,0.08957765522986649,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0784, edge_create, Tuple[6,16,0.23348016934849858,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0800, edge_create, Tuple[6,17,0.44775966680429913,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0800, edge_create, Tuple[6,18,0.501202859216956,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0815, edge_create, Tuple[6,19,0.4548301142412945,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0815, edge_create, Tuple[6,20,0.22091570888193712,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0831, edge_create, Tuple[6,21,0.9221088651976466,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0831, edge_create, Tuple[6,22,0.018382885906546242,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0847, edge_create, Tuple[6,23,0.8948560713384736,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0862, edge_create, Tuple[6,24,0.28942576366308426,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0862, edge_create, Tuple[6,25,0.325814788668381,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0878, edge_create, Tuple[6,26,0.5797060879121574,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0878, edge_create, Tuple[6,27,0.007755319440239883,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0893, edge_create, Tuple[6,28,0.9227553617004839,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0893, edge_create, Tuple[6,29,0.7011738776126178,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0909, edge_create, Tuple[6,30,0.4831870600001965,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0909, edge_create, Tuple[6,31,0.5428230669098146,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0925, edge_create, Tuple[6,32,0.3353234298729423,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0925, edge_create, Tuple[6,33,0.8031009342276373,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0940, edge_create, Tuple[6,34,0.16860872319027187,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0940, edge_create, Tuple[6,35,0.49756972590843174,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0956, edge_create, Tuple[6,36,0.9675467504981087,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0956, edge_create, Tuple[6,37,0.5752103164859248,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0971, edge_create, Tuple[6,38,0.9110032036114174,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0971, edge_create, Tuple[6,39,0.6817636705253739,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0987, edge_create, Tuple[6,40,0.5971814084812038,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:47:0987, edge_create, Tuple[6,41,0.3121121738400854,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0003, edge_create, Tuple[6,42,0.278175668096981,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0003, edge_create, Tuple[6,43,0.4556806545679676,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0018, edge_create, Tuple[6,44,0.7116094640227614,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0018, edge_create, Tuple[6,45,0.2409872680709345,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0034, edge_create, Tuple[6,46,0.9644839359842704,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0034, edge_create, Tuple[6,47,0.19056419164475302,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0049, edge_create, Tuple[6,48,0.5721318184052796,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0049, edge_create, Tuple[6,49,0.2994475854840888,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0065, edge_create, Tuple[6,50,0.7273451540522036,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0065, edge_create, Tuple[6,51,0.4963711502887017,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0081, edge_create, Tuple[6,52,0.09371072460202556,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0081, edge_create, Tuple[6,53,0.08688679876756744,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0096, edge_create, Tuple[6,54,0.6734482203047099,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0096, edge_create, Tuple[6,55,0.4151976689669217,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0112, edge_create, Tuple[6,56,0.2622384267579121,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0112, edge_create, Tuple[6,57,0.32296882208790323,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0127, edge_create, Tuple[6,58,0.06840831349397702,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0127, edge_create, Tuple[6,59,0.588350074339239,1,0.0,1418082096554,1418082096554]
2014-12-08 06:43:48:0205, discussion_open, 62929
2014-12-08 06:43:48:0205, list_mouseexited
2014-12-08 06:43:54:0414, list_mouseentered, type=detailAnswersList
2014-12-08 06:43:54:0586, list_mouseexited, type=detailAnswersList
2014-12-08 06:43:55:0740, diag_detail_itementered, id=60160, type=1
2014-12-08 06:43:55:0787, diag_detail_itemexited, id=60160, type=1
2014-12-08 06:43:59:0718, list_mouseentered, id=62929, type=1
2014-12-08 06:43:59:0718, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0734, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0828, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0843, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0859, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0874, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0890, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0906, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0906, list_mousemoved, id=62929, type=1
2014-12-08 06:43:59:0937, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0263, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0278, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0278, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0294, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0310, list_mousemoved, id=62929, type=1
2014-12-08 06:44:01:0325, list_mouseexited
2014-12-08 06:44:01:0934, diag_itementered, id=62929, type=1
2014-12-08 06:44:08:0158, diag_itemexited, id=62929, type=1
2014-12-08 06:44:08:0829, diag_itementered, id=33960, type=1
2014-12-08 06:44:14:0133, diag_itemexited, id=33960, type=1
2014-12-08 06:44:14:0445, diag_itementered, id=33960, type=1
2014-12-08 06:44:20:0435, diag_itemexited, id=33960, type=1
2014-12-08 06:44:20:0763, diag_itementered, id=33960, type=1
2014-12-08 06:44:25:0958, diag_itemexited, id=33960, type=1
2014-12-08 06:44:26:0036, diag_itementered, id=62929, type=1
2014-12-08 06:44:26:0083, diag_itemexited, id=62929, type=1
2014-12-08 06:44:27:0050, diag_itementered, id=33960, type=1
2014-12-08 06:44:28:0157, diag_itemexited, id=33960, type=1
2014-12-08 06:44:29:0343, diag_itementered, id=33960, type=1
2014-12-08 06:44:30:0217, diag_itemexited, id=33960, type=1
2014-12-08 06:44:31:0886, diag_detail_itementered, id=0.7273451540522036, type=1
2014-12-08 06:44:31:0917, diag_detail_itemexited, id=0.7273451540522036, type=1
2014-12-08 06:44:31:0933, diag_detail_itementered, id=0.588350074339239, type=1
2014-12-08 06:44:31:0964, diag_detail_itemexited, id=0.588350074339239, type=1
2014-12-08 06:44:31:0980, diag_detail_itementered, id=0.37158581099934407, type=1
2014-12-08 06:44:32:0026, diag_detail_itemexited, id=0.37158581099934407, type=1
2014-12-08 06:44:32:0026, diag_detail_itementered, id=0.9296960821823755, type=1
2014-12-08 06:44:32:0058, diag_detail_itemexited, id=0.9296960821823755, type=1
2014-12-08 06:44:32:0058, diag_detail_itementered, id=0.9378561363033344, type=1
2014-12-08 06:44:32:0089, diag_detail_itemexited, id=0.9378561363033344, type=1
2014-12-08 06:44:32:0089, diag_detail_itementered, id=0.03827646264492546, type=1
2014-12-08 06:44:32:0136, diag_detail_itemexited, id=0.03827646264492546, type=1
2014-12-08 06:44:32:0136, diag_detail_itementered, id=0.08957765522986649, type=1
2014-12-08 06:44:32:0167, diag_detail_itemexited, id=0.08957765522986649, type=1
2014-12-08 06:44:32:0182, diag_detail_itementered, id=0.23348016934849858, type=1
2014-12-08 06:44:32:0214, diag_detail_itemexited, id=0.23348016934849858, type=1
2014-12-08 06:44:32:0229, diag_detail_itementered, id=0.44775966680429913, type=1
2014-12-08 06:44:32:0260, diag_detail_itemexited, id=0.44775966680429913, type=1
2014-12-08 06:44:32:0307, diag_detail_itementered, id=0.501202859216956, type=1
2014-12-08 06:44:32:0338, diag_detail_itemexited, id=0.501202859216956, type=1
2014-12-08 06:44:32:0666, diag_detail_itementered, id=0.501202859216956, type=1
2014-12-08 06:44:32:0697, diag_detail_itemexited, id=0.501202859216956, type=1
2014-12-08 06:44:32:0728, diag_detail_itementered, id=0.44775966680429913, type=1
2014-12-08 06:44:32:0760, diag_detail_itemexited, id=0.44775966680429913, type=1
2014-12-08 06:44:32:0884, diag_detail_itementered, id=0.23348016934849858, type=1
2014-12-08 06:44:32:0916, diag_detail_itemexited, id=0.23348016934849858, type=1
2014-12-08 06:44:32:0931, diag_detail_itementered, id=0.23348016934849858, type=1
2014-12-08 06:44:33:0025, diag_detail_itemexited, id=0.23348016934849858, type=1
2014-12-08 06:44:33:0056, diag_detail_itementered, id=0.44775966680429913, type=1
2014-12-08 06:44:33:0134, diag_detail_itemexited, id=0.44775966680429913, type=1
2014-12-08 06:44:33:0134, diag_detail_itementered, id=0.23348016934849858, type=1
2014-12-08 06:44:33:0165, diag_detail_itemexited, id=0.23348016934849858, type=1
2014-12-08 06:44:33:0165, diag_detail_itementered, id=245490124, type=3
2014-12-08 06:44:34:0054, diag_detail_itemexited, id=245490124, type=3
2014-12-08 06:44:34:0054, diag_detail_itementered, id=0.9814245073813122, type=1
2014-12-08 06:44:34:0101, diag_detail_itemexited, id=0.9814245073813122, type=1
2014-12-08 06:44:34:0444, diag_detail_itementered, id=62929, type=1
2014-12-08 06:44:34:0476, diag_detail_itemexited, id=62929, type=1
2014-12-08 06:44:34:0725, diag_detail_itementered, id=245490124, type=3
2014-12-08 06:44:36:0363, diag_detail_itemclicked, id=245490124, type=3
2014-12-08 06:44:37:0533, diag_detail_itemexited, id=245490124, type=3
2014-12-08 06:44:37:0533, diag_detail_itementered, id=0.5965652978783748, type=1
2014-12-08 06:44:37:0580, diag_detail_itemexited, id=0.5965652978783748, type=1
2014-12-08 06:44:37:0580, diag_detail_itementered, id=0.37158581099934407, type=1
2014-12-08 06:44:37:0611, diag_detail_itemexited, id=0.37158581099934407, type=1
2014-12-08 06:44:37:0611, diag_detail_itementered, id=0.9296960821823755, type=1
2014-12-08 06:44:37:0658, diag_detail_itemexited, id=0.9296960821823755, type=1
2014-12-08 06:44:37:0830, diag_detail_itementered, id=0.9296960821823755, type=1
2014-12-08 06:44:37:0861, diag_detail_itemexited, id=0.9296960821823755, type=1
2014-12-08 06:44:37:0861, diag_detail_itementered, id=0.1995838320571076, type=1
2014-12-08 06:44:37:0908, diag_detail_itemexited, id=0.1995838320571076, type=1
2014-12-08 06:44:37:0908, diag_detail_itementered, id=245490124, type=3
2014-12-08 06:44:38:0266, diag_detail_itemexited, id=245490124, type=3
2014-12-08 06:44:38:0454, diag_detail_itementered, id=0.5428230669098146, type=1
2014-12-08 06:44:38:0734, diag_detail_itemexited, id=0.5428230669098146, type=1
2014-12-08 06:44:38:0734, diag_detail_itementered, id=30171, type=1
2014-12-08 06:44:40:0528, diag_detail_itemexited, id=30171, type=1
2014-12-08 06:44:40:0638, diag_detail_itementered, id=64582, type=1
2014-12-08 06:44:41:0168, diag_detail_itemexited, id=64582, type=1
2014-12-08 06:44:41:0199, diag_detail_itementered, id=30171, type=1
2014-12-08 06:44:42:0229, diag_detail_itemexited, id=30171, type=1
2014-12-08 06:44:42:0260, diag_detail_itementered, id=64582, type=1
2014-12-08 06:44:42:0619, diag_detail_itemexited, id=64582, type=1
2014-12-08 06:44:42:0666, diag_detail_itementered, id=0.5428230669098146, type=1
2014-12-08 06:44:42:0697, diag_detail_itemexited, id=0.5428230669098146, type=1
2014-12-08 06:44:42:0806, diag_detail_itementered, id=0.5428230669098146, type=1
2014-12-08 06:44:42:0837, diag_detail_itemexited, id=0.5428230669098146, type=1
2014-12-08 06:44:43:0071, diag_detail_itementered, id=245490124, type=3
2014-12-08 06:44:45:0037, diag_detail_itemexited, id=245490124, type=3
2014-12-08 06:44:45:0052, diag_detail_itementered, id=0.007755319440239883, type=1
2014-12-08 06:44:45:0099, diag_detail_itemexited, id=0.007755319440239883, type=1
2014-12-08 06:44:45:0177, diag_detail_itementered, id=16689, type=1
2014-12-08 06:44:45:0208, diag_detail_itemexited, id=16689, type=1
2014-12-08 06:44:47:0408, diag_detail_itementered, id=35002, type=1
2014-12-08 06:44:47:0455, diag_detail_itemexited, id=35002, type=1
2014-12-08 06:44:47:0595, diag_detail_itementered, id=0.018382885906546242, type=1
2014-12-08 06:44:47:0627, diag_detail_itemexited, id=0.018382885906546242, type=1
2014-12-08 06:44:47:0689, diag_detail_itementered, id=0.9221088651976466, type=1
2014-12-08 06:44:47:0720, diag_detail_itemexited, id=0.9221088651976466, type=1
2014-12-08 06:44:47:0829, diag_detail_itementered, id=0.22091570888193712, type=1
2014-12-08 06:44:47:0923, diag_detail_itemexited, id=0.22091570888193712, type=1
2014-12-08 06:44:47:0923, diag_detail_itementered, id=0.4548301142412945, type=1
2014-12-08 06:44:47:0954, diag_detail_itemexited, id=0.4548301142412945, type=1
2014-12-08 06:44:47:0954, diag_detail_itementered, id=245490124, type=3
2014-12-08 06:44:48:0875, diag_detail_itemclicked, id=245490124, type=3
2014-12-08 06:44:49:0405, diag_detail_itemexited, id=245490124, type=3
2014-12-08 06:44:49:0452, diag_detail_itementered, id=62929, type=1
2014-12-08 06:44:49:0499, diag_detail_itemexited, id=62929, type=1
2014-12-08 06:44:49:0499, diag_detail_itementered, id=0.8296491101045935, type=4
2014-12-08 06:44:49:0530, diag_detail_itemexited, id=0.8296491101045935, type=4
2014-12-08 06:44:50:0123, diag_detail_itementered, id=725625307, type=3
2014-12-08 06:44:50:0279, diag_detail_itemexited, id=725625307, type=3
2014-12-08 06:44:50:0294, diag_detail_itementered, id=0.8296491101045935, type=4
2014-12-08 06:44:50:0325, diag_detail_itemexited, id=0.8296491101045935, type=4
2014-12-08 06:44:50:0653, diag_detail_itementered, id=0.8296491101045935, type=4
2014-12-08 06:44:50:0684, diag_detail_itemexited, id=0.8296491101045935, type=4
2014-12-08 06:44:50:0684, diag_detail_itementered, id=62929, type=1
2014-12-08 06:44:53:0461, diag_detail_itemexited, id=62929, type=1
2014-12-08 06:44:53:0492, diag_detail_itementered, id=0.4963711502887017, type=1
2014-12-08 06:44:53:0523, diag_detail_itemexited, id=0.4963711502887017, type=1
2014-12-08 06:44:53:0539, diag_detail_itementered, id=0.5971814084812038, type=1
2014-12-08 06:44:53:0570, diag_detail_itemexited, id=0.5971814084812038, type=1
2014-12-08 06:44:55:0676, diag_itementered, id=62929, type=1
2014-12-08 06:44:56:0300, edge_create, Tuple[0,1,0.3162911585173588,4,0.0,1418082096554,1418082096554]
2014-12-08 06:44:56:0300, answer_create, 62996
2014-12-08 06:44:56:0300, edge_create, Tuple[1,2,0.6595986917734188,4,0.0,1418082096554,1418082096554]
2014-12-08 06:44:56:0300, answer_create, 63155
2014-12-08 06:44:56:0300, edge_create, Tuple[1,3,0.17660826100951976,4,0.0,1418082096554,1418082096554]
2014-12-08 06:44:56:0300, answer_create, 5452194
2014-12-08 06:44:56:0300, edge_create, Tuple[1,4,0.870846592478675,4,0.0,1418082096554,1418082096554]
2014-12-08 06:44:56:0300, answer_create, 4300803
2014-12-08 06:44:56:0300, edge_create, Tuple[1,5,0.33146069635682096,4,0.0,1418082096554,1418082096554]
2014-12-08 06:44:56:0300, edge_create, Tuple[0,6,0.3616649659900206,1,0.0,1418082096554,1418082096554]
