2014-12-17 04:40:35:0965, setup_loaddata_begin
2014-12-17 04:40:37:0573, setup_loaddata_end
2014-12-17 04:40:37:0603, setup_createactions_begin
2014-12-17 04:40:37:0773, setup_createactions_end
2014-12-17 04:41:22:0431, edge_create, Tuple[1,7,0.8312174735370205,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 878336
2014-12-17 04:41:22:0431, edge_create, Tuple[1,8,0.3589866610575513,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 1982033
2014-12-17 04:41:22:0431, edge_create, Tuple[1,9,0.1413696706319737,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 5841923
2014-12-17 04:41:22:0431, edge_create, Tuple[1,10,0.6196844747573972,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 5902131
2014-12-17 04:41:22:0431, edge_create, Tuple[1,11,0.03068423826925426,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 6028547
2014-12-17 04:41:22:0431, edge_create, Tuple[1,12,0.6343651253043134,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 6163701
2014-12-17 04:41:22:0431, edge_create, Tuple[1,13,0.14707732276769225,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0431, answer_create, 6287763
2014-12-17 04:41:22:0441, edge_create, Tuple[1,14,0.46533894413821253,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, answer_create, 8955801
2014-12-17 04:41:22:0441, edge_create, Tuple[1,15,0.4222916525886875,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, answer_create, 11854901
2014-12-17 04:41:22:0441, edge_create, Tuple[1,16,0.8417247106656828,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, answer_create, 15689078
2014-12-17 04:41:22:0441, edge_create, Tuple[1,17,0.5065346241871608,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, answer_create, 15831762
2014-12-17 04:41:22:0441, edge_create, Tuple[1,18,0.9288282739350536,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, answer_create, 17310303
2014-12-17 04:41:22:0441, edge_create, Tuple[1,19,0.35613346776036003,4,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, edge_create, Tuple[0,20,0.7320511087465326,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0441, edge_create, Tuple[20,21,0.4369746072853119,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0451, edge_create, Tuple[20,22,0.9090792970165713,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0451, edge_create, Tuple[20,23,0.08892565409094189,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0451, edge_create, Tuple[20,24,0.44483228568047106,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0451, edge_create, Tuple[20,25,0.7389902524488678,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0461, edge_create, Tuple[20,26,0.5431910024822816,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0461, edge_create, Tuple[20,27,0.9249061186267296,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0461, edge_create, Tuple[20,28,0.1932270882489997,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0461, edge_create, Tuple[20,29,0.45817895550960996,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0471, edge_create, Tuple[20,30,0.6764968550536715,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0471, edge_create, Tuple[20,31,0.618690597302175,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0471, edge_create, Tuple[20,32,0.06254651096471242,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0471, edge_create, Tuple[20,33,0.5251891286878563,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0481, edge_create, Tuple[20,34,0.7743237437131355,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0481, edge_create, Tuple[20,35,0.900955155610731,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0481, edge_create, Tuple[20,36,0.1415606209230328,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0491, edge_create, Tuple[20,37,0.3761526076016777,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0491, edge_create, Tuple[20,38,0.5618558333217525,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0491, edge_create, Tuple[20,39,0.4028546265716638,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0491, edge_create, Tuple[20,40,0.2852455972378476,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0501, edge_create, Tuple[20,41,0.36115063394908486,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0501, edge_create, Tuple[20,42,0.7732369607492303,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0501, edge_create, Tuple[20,43,0.7013756178532982,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0501, edge_create, Tuple[20,44,0.1679370351835584,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0511, edge_create, Tuple[20,45,0.08527481716912666,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0511, edge_create, Tuple[20,46,0.26702222630769024,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0511, edge_create, Tuple[20,47,0.6853614330071235,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0511, edge_create, Tuple[20,48,0.9274571596358745,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0521, edge_create, Tuple[20,49,0.6950096008056927,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0521, edge_create, Tuple[20,50,0.4223159362281401,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0521, edge_create, Tuple[20,51,0.9507358798855812,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0521, edge_create, Tuple[20,52,0.6236349923442178,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0531, edge_create, Tuple[20,53,0.5220752428131474,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0531, edge_create, Tuple[20,54,0.16840973800790326,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0531, edge_create, Tuple[20,55,0.47349103866874354,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0531, edge_create, Tuple[20,56,0.9387403445205751,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0541, edge_create, Tuple[20,57,0.42753609431789563,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0541, edge_create, Tuple[20,58,0.220461076543636,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0541, edge_create, Tuple[20,59,0.3802944174064138,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0541, edge_create, Tuple[20,60,0.032703970431435914,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0551, edge_create, Tuple[20,61,0.6508916059841209,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0551, edge_create, Tuple[20,62,0.09472884931524506,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0551, edge_create, Tuple[20,63,0.23910884072666627,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0551, edge_create, Tuple[20,64,0.23259757245087276,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0561, edge_create, Tuple[20,65,0.9620324887525609,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0561, edge_create, Tuple[20,66,0.2591097574545417,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0561, edge_create, Tuple[20,67,0.9260079504853314,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0561, edge_create, Tuple[20,68,0.2836994278388495,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0571, edge_create, Tuple[20,69,0.438357976729869,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0571, edge_create, Tuple[20,70,0.3381952767142121,1,0.0,1418852436540,1418852436540]
2014-12-17 04:41:22:0581, discussion_open, 62289
2014-12-17 04:41:22:0581, diag_detail_itemclicked, id=62289, type=1
2014-12-17 04:41:24:0083, diag_detail_itementered, id=-1972766596, type=3
2014-12-17 04:41:24:0836, diag_detail_itemclicked, id=-1972766596, type=3
2014-12-17 04:41:25:0056, diag_detail_itemclicked, id=-1972766596, type=3
2014-12-17 04:41:27:0917, diag_detail_itemexited, id=-1972766596, type=3
2014-12-17 04:41:27:0917, diag_detail_itementered, id=0.3589866610575513, type=4
2014-12-17 04:41:28:0007, diag_detail_itemexited, id=0.3589866610575513, type=4
2014-12-17 04:41:28:0487, diag_detail_itementered, id=0.3589866610575513, type=4
2014-12-17 04:41:28:0507, diag_detail_itemexited, id=0.3589866610575513, type=4
2014-12-17 04:41:28:0567, answer_open, VisualItem[tree.nodes,9,id=1982033,type=20,title=,body=<p>You don't actually need a 3rd party package. Windows has a reg utility for all registry operations. To get the command format, go to the DOS propmt and type:</p>

<pre><code>reg /?
</code></pre>

<p>You can invoke <em>reg</em> through the Runtime class:</p>

<pre><code>Runtime.getRuntime().exec("reg &lt;your parameters here&gt;");
</code></pre>

<p>Editing keys and adding new ones is straightforward using the command above. To read the registry, you need to get <em>reg</em>'s output, and it's a little tricky. Here's the code:</p>

<pre><code>import java.io.IOException;
import java.io.InputStream;
import java.io.StringWriter;

/**
 * @author Oleg Ryaboy, based on work by Miguel Enriquez 
 */
public class WindowsReqistry {

    /**
     * 
     * @param location path in the registry
     * @param key registry key
     * @return registry value or null if not found
     */
    public static final String readRegistry(String location, String key){
        try {
            // Run reg query, then read output with StreamReader (internal class)
            Process process = Runtime.getRuntime().exec("reg query " + 
                    '"'+ location + "\" /v " + key);

            StreamReader reader = new StreamReader(process.getInputStream());
            reader.start();
            process.waitFor();
            reader.join();
            String output = reader.getResult();

            // Output has the following format:
            // \n&lt;Version information&gt;\n\n&lt;key&gt;\t&lt;registry type&gt;\t&lt;value&gt;
            if( ! output.contains("\t")){
                    return null;
            }

            // Parse out the value
            String[] parsed = output.split("\t");
            return parsed[parsed.length-1];
        }
        catch (Exception e) {
            return null;
        }

    }

    static class StreamReader extends Thread {
        private InputStream is;
        private StringWriter sw= new StringWriter();

        public StreamReader(InputStream is) {
            this.is = is;
        }

        public void run() {
            try {
                int c;
                while ((c = is.read()) != -1)
                    sw.write(c);
            }
            catch (IOException e) { 
        }
        }

        public String getResult() {
            return sw.toString();
        }
    }
    public static void main(String[] args) {

        // Sample usage
        String value = WindowsReqistry.readRegistry("HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\" 
                 + "Explorer\\Shell Folders", "Personal");
        System.out.println(value);
    }
}
</code></pre>

<hr>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418852436540L,lastactivitydate=0L,tags=,score=73,searchfield=]
2014-12-17 04:41:28:0587, answer_open, VisualItem[tree.nodes,9,id=1982033,type=20,title=,body=<p>You don't actually need a 3rd party package. Windows has a reg utility for all registry operations. To get the command format, go to the DOS propmt and type:</p>

<pre><code>reg /?
</code></pre>

<p>You can invoke <em>reg</em> through the Runtime class:</p>

<pre><code>Runtime.getRuntime().exec("reg &lt;your parameters here&gt;");
</code></pre>

<p>Editing keys and adding new ones is straightforward using the command above. To read the registry, you need to get <em>reg</em>'s output, and it's a little tricky. Here's the code:</p>

<pre><code>import java.io.IOException;
import java.io.InputStream;
import java.io.StringWriter;

/**
 * @author Oleg Ryaboy, based on work by Miguel Enriquez 
 */
public class WindowsReqistry {

    /**
     * 
     * @param location path in the registry
     * @param key registry key
     * @return registry value or null if not found
     */
    public static final String readRegistry(String location, String key){
        try {
            // Run reg query, then read output with StreamReader (internal class)
            Process process = Runtime.getRuntime().exec("reg query " + 
                    '"'+ location + "\" /v " + key);

            StreamReader reader = new StreamReader(process.getInputStream());
            reader.start();
            process.waitFor();
            reader.join();
            String output = reader.getResult();

            // Output has the following format:
            // \n&lt;Version information&gt;\n\n&lt;key&gt;\t&lt;registry type&gt;\t&lt;value&gt;
            if( ! output.contains("\t")){
                    return null;
            }

            // Parse out the value
            String[] parsed = output.split("\t");
            return parsed[parsed.length-1];
        }
        catch (Exception e) {
            return null;
        }

    }

    static class StreamReader extends Thread {
        private InputStream is;
        private StringWriter sw= new StringWriter();

        public StreamReader(InputStream is) {
            this.is = is;
        }

        public void run() {
            try {
                int c;
                while ((c = is.read()) != -1)
                    sw.write(c);
            }
            catch (IOException e) { 
        }
        }

        public String getResult() {
            return sw.toString();
        }
    }
    public static void main(String[] args) {

        // Sample usage
        String value = WindowsReqistry.readRegistry("HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\" 
                 + "Explorer\\Shell Folders", "Personal");
        System.out.println(value);
    }
}
</code></pre>

<hr>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418852436540L,lastactivitydate=0L,tags=,score=73,searchfield=]
2014-12-17 04:41:28:0587, diag_detail_itementered, id=1982033, type=20
2014-12-17 04:41:28:0747, diag_detail_itemexited, id=1982033, type=20
2014-12-17 04:41:28:0937, answer_open, VisualItem[tree.nodes,9,id=1982033,type=20,title=,body=<p>You don't actually need a 3rd party package. Windows has a reg utility for all registry operations. To get the command format, go to the DOS propmt and type:</p>

<pre><code>reg /?
</code></pre>

<p>You can invoke <em>reg</em> through the Runtime class:</p>

<pre><code>Runtime.getRuntime().exec("reg &lt;your parameters here&gt;");
</code></pre>

<p>Editing keys and adding new ones is straightforward using the command above. To read the registry, you need to get <em>reg</em>'s output, and it's a little tricky. Here's the code:</p>

<pre><code>import java.io.IOException;
import java.io.InputStream;
import java.io.StringWriter;

/**
 * @author Oleg Ryaboy, based on work by Miguel Enriquez 
 */
public class WindowsReqistry {

    /**
     * 
     * @param location path in the registry
     * @param key registry key
     * @return registry value or null if not found
     */
    public static final String readRegistry(String location, String key){
        try {
            // Run reg query, then read output with StreamReader (internal class)
            Process process = Runtime.getRuntime().exec("reg query " + 
                    '"'+ location + "\" /v " + key);

            StreamReader reader = new StreamReader(process.getInputStream());
            reader.start();
            process.waitFor();
            reader.join();
            String output = reader.getResult();

            // Output has the following format:
            // \n&lt;Version information&gt;\n\n&lt;key&gt;\t&lt;registry type&gt;\t&lt;value&gt;
            if( ! output.contains("\t")){
                    return null;
            }

            // Parse out the value
            String[] parsed = output.split("\t");
            return parsed[parsed.length-1];
        }
        catch (Exception e) {
            return null;
        }

    }

    static class StreamReader extends Thread {
        private InputStream is;
        private StringWriter sw= new StringWriter();

        public StreamReader(InputStream is) {
            this.is = is;
        }

        public void run() {
            try {
                int c;
                while ((c = is.read()) != -1)
                    sw.write(c);
            }
            catch (IOException e) { 
        }
        }

        public String getResult() {
            return sw.toString();
        }
    }
    public static void main(String[] args) {

        // Sample usage
        String value = WindowsReqistry.readRegistry("HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\" 
                 + "Explorer\\Shell Folders", "Personal");
        System.out.println(value);
    }
}
</code></pre>

<hr>
