2014-12-08 06:42:25:0374, setup_loaddata_begin
2014-12-08 06:42:27:0181, setup_loaddata_end
2014-12-08 06:42:27:0212, setup_createactions_begin
2014-12-08 06:42:27:0468, setup_createactions_end
2014-12-08 06:42:30:0680, search_update, unix
2014-12-08 06:43:12:0827, edge_create, Tuple[1,2,0.426795567775341,1,0.0,1418082145966,1418082145966]
2014-12-08 06:43:12:0838, edge_create, Tuple[1,3,0.6074423128256441,1,0.0,1418082145966,1418082145966]
2014-12-08 06:43:12:0844, edge_create, Tuple[1,4,0.9040509158261792,1,0.0,1418082145966,1418082145966]
2014-12-08 06:43:13:0068, pattern_open, 2
2014-12-08 06:43:13:0068, diag_itemclicked, id=2, type=0
2014-12-08 06:43:14:0010, diag_itemexited, id=2, type=0
2014-12-08 06:43:27:0002, diag_itemexited, id=1, type=4
2014-12-08 06:43:27:0003, diag_itementered, id=1, type=0
2014-12-08 06:43:27:0064, diag_itemexited, id=1, type=0
2014-12-08 06:43:27:0093, diag_itemexited, id=1, type=4
2014-12-08 06:43:27:0139, diag_itementered, id=25331, type=1
2014-12-08 06:43:27:0184, diag_itemexited, id=25331, type=1
2014-12-08 06:43:27:0303, diag_itementered, id=40480, type=1
2014-12-08 06:43:27:0342, diag_itemexited, id=40480, type=1
2014-12-08 06:43:27:0385, diag_itementered, id=382, type=1
2014-12-08 06:43:27:0440, diag_itemexited, id=382, type=1
2014-12-08 06:43:27:0441, diag_itementered, id=14801, type=1
2014-12-08 06:43:27:0475, diag_itemexited, id=14801, type=1
