Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
4080,1,79845,,8/6/2008 22:45,70,19502,"<p>What code analysis tools do you use on your Java projects?</p>

<p>I am interested in all kinds</p>

<ul>
<li>static code analysis tools (FindBugs, PMD, and any others)</li>
<li>code coverage tools (Cobertura, Emma, and any others)</li>
<li>any other instrumentation-based tools </li>
<li>anything else, if I'm missing something</li>
</ul>

<p>If applicable, also state what build tools you use and how well these tools integrate with both your IDEs and build tools. </p>

<p>If a tool is only available a specific way (as an IDE plugin, or, say, a build tool plugin) that information is also worth noting.</p>
",235,,1288,Ned Batchelder,8/9/2012 3:29,4/29/2014 6:05,What code analysis tools do you use for your Java projects?,<java><code-coverage><static-analysis>,12,1,48,5/5/2012 13:39,
4149,1,154588,,8/6/2008 23:57,23,13856,"<p>I have an application that writes information to file. This information is used post-execution to determine pass/failure/correctness of the application. I'd like to be able to read the file as it is being written so that I can do these pass/failure/correctness checks in realtime.</p>

<p>I assume it is possible to do this, but what are the gotchas involved when using Java? If the reading catches up to the writing, will it just wait for more writes up until the file is closed, or will the read throw an exception at this point? If the latter, what do I do then? </p>

<p>My intuition is currently pushing me towards BufferedStreams. Is this the way to go?</p>
",488,,845306,,12/22/2011 23:09,5/29/2012 16:28,How do I use Java to read from a file that is actively being written?,<java><file><file-io>,6,3,9,,
4242,1,4247,,8/7/2008 1:05,28,4962,"<p>I want to convert a primitive to a string, and I tried:</p>

<pre><code>myInt.toString();
</code></pre>

<p>This fails with the error:</p>

<pre><code>int cannot be dereferenced
</code></pre>

<p>Now, I get that primitives are not reference types (ie, not an Object) and so cannot have methods.  However, Java 5 introduced autoboxing and unboxing (a la C#... which I never liked in C#, but that's beside the point).  So with autoboxing, I would expect the above to convert myInt to an Integer and then call toString() on that.</p>

<p>Furthermore, I believe C# allows such a call, unless I remember incorrectly.  Is this just an unfortunate shortcoming of Java's autoboxing/unboxing specification, or is there a good reason for this?</p>
",122,,131433,erickson,5/23/2012 14:28,1/30/2014 23:26,Why doesn't Java autoboxing extend to method invocations of methods of the autoboxed types?,<java><autoboxing>,8,0,4,,
4630,1,478658,,8/7/2008 12:26,3,2023,"<p>Example: I have two shared objects (same should apply to .dlls). The first shared object is from a third-party library, we'll call it libA.so. I have wrapped some of this with JNI and created my own library, libB.so. Now libB depends on libA.</p>

<p>When webstarting, both libraries are places in some webstart working area. My java code attempts to load libB. At this point the system loader will attempt to load libA which is not in the system library path (java.library.path won't help this). The end result is that libB has an unsatisfied link and cannot be used. </p>

<p>I have tried loading libA before libB, but that still does not work. Seems the OS wants to do that loading for me. Is there any way I can make this work other than statically  compiling?</p>",287,,,,,11/7/2011 17:35,"How can I Java webstart multiple, dependent, native libraries?",<java><jni><java-web-start><nativelibrary>,3,0,,,
4922,1,5091,,8/7/2008 16:30,12,3148,"<p>I saw this in <a href=""http://stackoverflow.com/a/4384/697449"">an answer to another question</a>, in reference to shortcomings of the java spec:</p>

<blockquote>
  <p>There are more shortcomings and this is a subtle topic. Check <a href=""http://kiranthakkar.blogspot.com/2007/05/method-overloading-with-new-features-of.html"" rel=""nofollow"">this</a> out:</p>

<pre><code>public class methodOverloading{
     public static void hello(Integer x){
          System.out.println(""Integer"");
     }

     public static void hello(long x){
          System.out.println(""long"");
     }

     public static void main(String[] args){
         int i = 5;
         hello(i);
     }
}
</code></pre>
  
  <p>Here ""long"" would be printed (haven't checked it myself), because the compiler choses >widening over autoboxing. Be careful when using autoboxing or don't use it at all!</p>
</blockquote>

<p><em>Are we sure that this is actually an example of widening instead of autoboxing, or is it something else entirely?</em></p>

<p>On my initial scanning, I would agree with the statement that the output would be ""long"" on the basis of <code>i</code> being declared as a primitive and not an object.  However, if you changed </p>

<pre><code>hello(long x)
</code></pre>

<p>to</p>

<pre><code>hello(Long x)
</code></pre>

<p>the output would print ""Integer""</p>

<p>What's really going on here?  I know nothing about the compilers/bytecode interpreters for java...</p>
",670,,697449,Andy,3/11/2012 22:06,3/11/2012 22:06,Is this really widening vs autoboxing?,<java><primitive><autoboxing>,3,1,,,
5222,1,5224,,8/7/2008 19:39,11,27870,"<p>All I really want is the equivalent of PHP's $_POST[], and after searching the web for an hour, I'm still nowhere closer.</p>
",429,,918414,Stu Thompson,6/30/2012 5:27,6/30/2012 5:27,Accessing post variables using Java Servlets,<java><http><servlets>,3,0,2,,
5328,1,5351,,8/7/2008 21:17,15,2157,"<p>So, in Java, the first line of your constructor HAS to be a call to super... be it implicitly calling super(), or explicitly calling another constructor.  What I want to know is, why can't I put a try block around that?</p>

<p>My specific case is that I have a mock class for a test.  There is no default constructor, but I want one to make the tests simpler to read.  I also want to wrap the exceptions thrown from the constructor into a RuntimeException.</p>

<p>So, what I want to do is effectively this:</p>

<pre><code>public class MyClassMock extends MyClass {
    public MyClassMock() {
        try {
            super(0);
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }

    // Mocked methods
}
</code></pre>

<p>But Java complains that super isn't the first statement.</p>

<p>My workaround:</p>

<pre><code>public class MyClassMock extends MyClass {
    public static MyClassMock construct() {
        try {
            return new MyClassMock();
        } catch (Exception e) {
            throw new RuntimeException(e);
        }
    }

    public MyClassMock() throws Exception {
        super(0);
    }

    // Mocked methods
}
</code></pre>

<p>Is this the best workaround?  Why doesn't Java let me do the former?</p>

<hr>

<p>My best guess as to the ""why"" is that Java doesn't want to let me have a constructed object in a potentially inconsistent state... however, in doing a mock, I don't care about that.  It seems I should be able to do the above... or at least I know that the above is safe for my case... or seems as though it should be anyways.</p>

<p>I am overriding any methods I use from the tested class, so there is no risk that I am using uninitialized variables.</p>
",122,,1288,,11/1/2011 13:23,3/28/2014 19:46,Why can't I use a try block around my super() call?,<java><exception><mocking>,6,2,1,,
5527,1,5532,,8/8/2008 1:04,13,1811,"<p>I just saw a <a href=""http://stackoverflow.com/questions/5516/what-happened-to-all-of-the-java-developers-how-can-i-get-started-in-net#5522"" rel=""nofollow"">comment of suggesting J#</a>, and it made me wonder... is there a real, beneficial use of J# over Java?  So, my feeling is that the only reason you would even consider using J# is that management has decreed that the company should jump on the Java bandwagon... and the .NET bandwagon.  If you use J#, you are effectively losing the biggest benefit of picking Java... rich cross platform support.  Sure there is Mono, but it's not as richly supported or as full featured right?  I remember hearing Forms are not fully (perhaps at all) supported.</p>

<p>I'm not trying to bash .NET here, I'm just saying, if you are going to go the Microsoft route, why not just use C#?  If you are going to go the Java route, why would J# enter the picture?</p>

<p>I'm hoping to find some real world cases here, so please especially respond if you've ACTUALLY used J# in a REAL project, and why.</p>",122,,,,,9/12/2008 20:27,Is there a real benefit of using J#?,<java><j#>,8,1,,,
5855,1,6687,,8/8/2008 12:40,3,810,"<p>I've found many sources that talk about the automated Eclipse PDE process.  I feel these sources don't do a good job explaining what's going on.</p>

<p>I can create the deployable package, in a semi-manual process via the Feature Export.  </p>

<p>The automated process requires knowledge of how the org.eclipse.pde.build scripts work.  I have gotten a build created, but not for JNLP.</p>

<p>Questions:</p>

<ol>
<li>Has anyone ever deployed RCP through JNLP?</li>
<li>Were you able to automate the builds?</li>
</ol>",728,,,,,5/30/2012 21:23,Automate builds for Java RCP for deployment with JNLP,<java><build-automation><rcp><jnlp>,1,0,1,,
6222,1,7877,,8/8/2008 18:17,3,3789,"<p>Is anyone successfully using the latest 64-bit Ganymede release of Eclipse on Windows XP or Vista 64-bit?</p>

<p>Currently I run the normal Eclipse 3.4 distribution on a 32bit JDK and launch &amp; compile my apps with a 64bit JDK. Our previous experience has been that the 64bit Eclipse distro is unstable for us, so I'm curious if anyone is using it successfully.</p>

<p>We are using JDK 1.6.0_05.</p>",235,,15352,Craig Angus,10/11/2008 14:41,8/20/2010 6:27,Eclipse on win64,<java><eclipse><eclipse-3.4><ganymede>,2,0,,,
6392,1,6496,,8/8/2008 21:24,9,13391,"<p>I am running a Tomcat application, and I need to display some time values.  Unfortunately, the time is coming up an hour off.  I looked into it and discovered that my default TimeZone is being set to:</p>

<pre><code>sun.util.calendar.ZoneInfo[id=""GMT-08:00"",
    offset=-28800000,dstSavings=0,useDaylight=false,
    transitions=0,lastRule=null]
</code></pre>

<p>Rather than the Pacific time zone.  This is further indicated when I try to print the default time zone's <a href=""http://docs.oracle.com/javase/7/docs/api/java/util/TimeZone.html#getDisplayName()"" rel=""nofollow"">display name</a>, and it comes up ""GMT-08:00"", which seems to indicate to me that it is not correctly set to the US Pacific time zone.  I am running on Ubuntu Hardy Heron, upgraded from Gutsy Gibbon.</p>

<p>Is there a configuration file I can update to tell the JRE to use Pacific with all the associated daylight savings time information?  The time on my machine shows correctly, so it doesn't seem to be an OS-wide misconfiguration.</p>

<hr>

<p>Ok, here's an update. A coworker suggested I update JAVA_OPTS in my /etc/profile to include ""-Duser.timezone=US/Pacific"", which worked (I also saw CATALINA_OPTS, which I updated as well). Actually, I just exported the change into the variables rather than use the new /etc/profile (a reboot later will pick up the changes and I will be golden).</p>

<p>However, I still think there is a better solution... there should be a configuration for Java somewhere that says what timezone it is using, or how it is grabbing the timezone. If someone knows such a setting, that would be awesome, but for now this is a decent workaround.</p>

<hr>

<p>I am using 1.5, and it is most definitely a DST problem.  As you can see, the time zone is set to not use daylight savings.  My belief is it is generically set to -8 offset rather than the specific Pacific timezone.  Since the generic -8 offset has no daylight savings info, it's of course not using it, but the question is, where do I tell Java to use Pacific time zone when it starts up?  I'm NOT looking for a programmatic solution, it should be a configuration solution.</p>
",122,,1102512,Mike Stone,11/26/2013 0:16,11/26/2013 0:16,Java Time Zone is messed up,<java><linux><timezone>,5,0,8,,
6612,1,6655,,8/9/2008 4:29,30,23246,"<p>On a recent Java project, we needed a free Java based real-time data plotting utility.  After much searching, we found this tool called the <a href=""http://www.epic.noaa.gov/java/sgt/"">Scientific Graphics Toolkit or SGT</a> from NOAA.  It seemed pretty robust, but we found out that it wasn't terribly configurable.  Or at least not configurable enough to meet our needs.  We ended up digging very deeply into the Java code and reverse engineering the code and changing it all around to make the plot tool look and act the way we wanted it to look and act.  Of course, this killed any chance for future upgrades from NOAA.  </p>

<p>So what free or cheap Java based data plotting tools or libraries do you use?</p>

<p><em>Followup:  Thanks for the <a href=""http://www.jfree.org/jfreechart/"">JFreeChart</a> suggestions.  I checked out their website and it looks like a very nice data charting and plotting utility.  I should have made it clear in my original question that I was looking specifically to plot real-time data.  I corrected my question above to make that point clear.  It appears that <a href=""http://www.jfree.org/jfreechart/faq.html#FAQ5"">JFreeChart support for live data is marginal at best, though</a>.  Any other suggestions out there?</em></p>
",27687,Kurt Leucht,135589,Kurt Leucht,11/27/2011 13:10,11/26/2013 0:17,Are there any decent free Java data plotting libraries out there?,<java><configuration><data><plot><freeware>,17,1,16,1/4/2013 22:05,
6639,1,,,8/9/2008 5:33,31,65487,<p>How should I load files into my Java application?</p>,816,,1737819,,1/30/2014 7:11,1/30/2014 7:11,How should I load files into my Java application?,<java><file><loading>,5,1,17,,
6658,1,6671,,8/9/2008 6:31,73,22365,"<p>At work we are currently still using Junit3 to run our tests. We have been considering switching over to Junit4 for <strong>new</strong> tests being written but I have been keeping an eye on TestNG for a while now. What experiences have you all had with either Junit4 or TestNG and which seems to work better for very large numbers of tests. Having flexibility in writing tests is also important to us since our functional tests cover a wide aspect and need to be written in a variety of ways to get results.</p>

<p>Old tests will not be re-written as they do their job just fine. What I would like to see in new tests though is flexibility in the way the test can be written, natural assertions, grouping, and easily distributed test executions.</p>",782,,782,Sam Merrell,8/9/2008 7:08,4/6/2014 17:01,Junit vs TestNG,<java><testing><junit><testng>,11,1,19,,
6765,1,6902,,8/9/2008 13:23,6,2164,"<p>I'm going to start a new project - rewriting an existing system (PHP + SQL Server) from scratch because of some very serious limitations by design.</p>

<p>We have some quite good knowledge of SQL Server (currently we're using SQL Server 2000 in existing system) and we would like to employ its newer version (2008 I guess) in our new project.</p>

<p>I am really fond of technologies that Java offers - particularly Spring Framework and Wicket and I am quite familiar with Java from others projects and assignments before.
Therefore, we consider using Java and Microsoft SQL Server.</p>

<p>There are two JDBC drivers for SQL Server - jTDS and Microsoft's one - <a href=""http://msdn.microsoft.com/en-us/data/aa937724.aspx"" rel=""nofollow"">http://msdn.microsoft.com/en-us/data/aa937724.aspx</a>. I think we should test both of them.<br/></p>

<p>Are there any limitations in such solution I should know of? Has someone experience with such a technology combination?</p>
",837,,13302,,11/4/2010 7:17,11/4/2010 7:17,Java + SQL Server - a viable solution?,<java><sql-server>,5,0,,,
6816,1,6840,,8/9/2008 15:40,56,23610,"<p>I was hoping someone could help me out with a problem I'm having using the java search function in Eclipse on a particular project.</p>

<p>When using the java search on one particular project, I get an error message saying <code>Class file name must end with .class</code> (see stack trace below). This does not seem to be happening on all projects, just one particular one, so perhaps there's something I should try to get rebuilt?</p>

<p>I have already tried <code>Project -&gt; Clean</code>... and Closing Eclipse, deleting all the built class files and restarting Eclipse to no avail.</p>

<p>The only reference I've been able to find on Google for the problem is at <a href=""http://www.crazysquirrel.com/computing/java/eclipse/error-during-java-search.jspx"" rel=""nofollow"">http://www.crazysquirrel.com/computing/java/eclipse/error-during-java-search.jspx</a>, but unfortunately his solution (closing, deleting class files, restarting) did not work for me.</p>

<p>If anyone can suggest something to try, or there's any more info I can gather which might help track it's down, I'd greatly appreciate the pointers.</p>

<pre><code>Version: 3.4.0
Build id: I20080617-2000
</code></pre>

<p>Also just found this thread - <a href=""http://www.myeclipseide.com/PNphpBB2-viewtopic-t-20067.html"" rel=""nofollow"">http://www.myeclipseide.com/PNphpBB2-viewtopic-t-20067.html</a> - which indicates the same problem may occur when the project name contains a period. Unfortunately, that's not the case in my setup, so I'm still stuck.</p>

<pre><code>Caused by: java.lang.IllegalArgumentException: Class file name must end with .class
at org.eclipse.jdt.internal.core.PackageFragment.getClassFile(PackageFragment.java:182)
at org.eclipse.jdt.internal.core.util.HandleFactory.createOpenable(HandleFactory.java:109)
at org.eclipse.jdt.internal.core.search.matching.MatchLocator.locateMatches(MatchLocator.java:1177)
at org.eclipse.jdt.internal.core.search.JavaSearchParticipant.locateMatches(JavaSearchParticipant.java:94)
at org.eclipse.jdt.internal.core.search.BasicSearchEngine.findMatches(BasicSearchEngine.java:223)
at org.eclipse.jdt.internal.core.search.BasicSearchEngine.search(BasicSearchEngine.java:506)
at org.eclipse.jdt.core.search.SearchEngine.search(SearchEngine.java:551)
at org.eclipse.jdt.internal.corext.refactoring.RefactoringSearchEngine.internalSearch(RefactoringSearchEngine.java:142)
at org.eclipse.jdt.internal.corext.refactoring.RefactoringSearchEngine.search(RefactoringSearchEngine.java:129)
at org.eclipse.jdt.internal.corext.refactoring.rename.RenameTypeProcessor.initializeReferences(RenameTypeProcessor.java:594)
at org.eclipse.jdt.internal.corext.refactoring.rename.RenameTypeProcessor.doCheckFinalConditions(RenameTypeProcessor.java:522)
at org.eclipse.jdt.internal.corext.refactoring.rename.JavaRenameProcessor.checkFinalConditions(JavaRenameProcessor.java:45)
at org.eclipse.ltk.core.refactoring.participants.ProcessorBasedRefactoring.checkFinalConditions(ProcessorBasedRefactoring.java:225)
at org.eclipse.ltk.core.refactoring.Refactoring.checkAllConditions(Refactoring.java:160)
at org.eclipse.jdt.internal.ui.refactoring.RefactoringExecutionHelper$Operation.run(RefactoringExecutionHelper.java:77)
at org.eclipse.jdt.internal.core.BatchOperation.executeOperation(BatchOperation.java:39)
at org.eclipse.jdt.internal.core.JavaModelOperation.run(JavaModelOperation.java:709)
at org.eclipse.core.internal.resources.Workspace.run(Workspace.java:1800)
at org.eclipse.jdt.core.JavaCore.run(JavaCore.java:4650)
at org.eclipse.jdt.internal.ui.actions.WorkbenchRunnableAdapter.run(WorkbenchRunnableAdapter.java:92)
at org.eclipse.jface.operation.ModalContext$ModalContextThread.run(ModalContext.java:121)
</code></pre>

<p>Thanks McDowell, closing and opening the project seems to have fixed it (at least for now).</p>
",797,,814074,Matt Sheppard,12/23/2013 8:14,12/23/2013 8:14,Class file name must end with .class exception in Java Search,<java><eclipse><search>,6,1,18,,
7269,1,46902,,8/10/2008 18:06,3,1258,"<p>I'm part of a team that develops a pretty big Swing Java Applet. Most of our code is legacy and there are tons of singleton references. We've bunched all of them to a single ""application context"" singleton. What we now need is to create some way to separate the shared context (shared across all applets currently showing) and non-shared context (specific to each applet currently showing). However, we don't have an ID at each of the locations that call to the singleton, nor do we want to propagate the ID to all locations. What's the easiest way to identify in which applet context we're running? (I've tried messing with classloaders, thread groups, thread ids... so far I could find nothing that will enabled me to ID the origin of the call).</p>
",931,Ran Biron,,,,9/6/2008 21:12,How can I identify in which Java Applet context I'm running without passing an ID?,<java><swing><applet>,3,0,,,
7291,1,7294,,8/10/2008 19:00,4,1084,"<p>I'm working on an app that converts source code from using one framework to another.<br>
I really wanted to make the agonizing monotonous job automatic.<br>
After looking a lot for something that could help me treat source code in an object-oriented way and modify it the closest thing I've found was <a href=""http://jaxme.sourceforge.net/JaxMeJS/docs/index.html"" rel=""nofollow"">JaxMeJS</a> and that's short of what I need too.</p>

<p>I've been working at creating my own parser using <a href=""http://antlr.org/"" rel=""nofollow"">antlr</a>, but would love not having to do it by myself.</p>

<p>Any recommendations? Of course I'd rather a Java solution, but I have an open mind.</p>
",573,,1102512,Dave L.,11/26/2013 0:22,11/26/2013 0:22,Any good java source code analyzing and modifying libraries?,<java><source-code><static-analysis>,3,0,1,8/2/2012 16:06,
7539,1,7561,,8/11/2008 5:23,16,21921,"<p>Recently I tried understanding the use of <strong>java.math.MathContext</strong> but failed to understand properly. Is it used for rounding in java.math.BigDecimal, if yes why does not it round the decimal digits but even mentissa part.</p>

<p>From API docs, I came to know that it follows the standard specified in ANSI X3.274-1996 and ANSI X3.274-1996/AM 1-2000 specifications but I did not get them to read online.</p>

<p>Please let me know if you have any idea on this.</p>
",959,,342473,,1/30/2014 7:11,4/11/2014 8:05,Use of java.math.MathContext,<java><math><bigdecimal><mathcontext>,5,0,1,,
7596,1,13283,,8/11/2008 7:45,23,6463,"<p>First of all, I know how to build a Java application. But I have always been puzzled about where to put my classes. There are proponents for organizing the packages in a strictly domain oriented fashion, others separate by tier.</p>

<p>I myself have always had problems with a) with naming, b) with placing</p>

<ol>
<li>Where do you put your domain specific constants (and what is the best name for such a class)?</li>
<li>Where do you put classes for stuff which is both infrastructural and domain specific (for instance I have a FileStorageStrategy class, which stores the files either in the database, or alternatively in database)?</li>
<li>Where to put Exceptions?</li>
<li>Are there any standards to which I can refer?</li>
</ol>
",917,,4714,,1/31/2012 16:16,1/31/2012 16:16,"How should I structure a Java application, in other words: where do I put my classes?",<java><architecture><code-management>,11,1,6,,8/29/2009 17:41
7661,1,32551,,8/11/2008 10:23,4,13600,"<p>Searching for some sample code for converting a point in WGS84 coordinate system to a map position in Google Maps (pixel position), also supporting zoom levels. </p>

<p>If the codes is well commented, then it can also be in some other language.</p>

<p>You can also point me to a open source Java project :)</p>

<p>Some resources found:</p>

<p><a href=""http://trac.openlayers.org/browser/trunk/openlayers/lib/OpenLayers/Layer"" rel=""nofollow"">OpenLayer</a> implementation. </p>

<p><a href=""http://josm.openstreetmap.de/browser/trunk/src/org/openstreetmap/josm/data/projection"" rel=""nofollow"">JOSM</a> project</p>

<p>Excellent <a href=""http://www.jhlabs.com/java/maps/proj/"" rel=""nofollow"">Java Map Projection Library </a> from JH LABS. This is a pure java PROJ.4 port. Does projection from WGS84 to meters. From there it's quite straightforward to convert meters to tile pixels.</p>
",706,,21960,JaanusSiim,4/30/2013 13:48,4/30/2013 13:48,Java code for WGS84 to Google map position and back,<java><google-maps><mapping><wgs84>,6,0,3,,
7681,1,7688,,8/11/2008 11:33,3,1179,"<p>What is the best way to verify/test that a text string is serialized to a byte array with a certain encoding?</p>

<p>In my case, I want to verify that an XML structure is serialized to a byte array with the UTF-8 encoding which is of variable character length. As an example, my current ugly procedure is to inject a character known to require two bytes into the structure before serializing, then replacing the two-byte character with an ASCII character and comparing the serialized array lengths. This should yield two serialized arrays where the array containing the two-byte characters should have length +1.</p>

<p>Plus if the solution is elegant for Java. 
I can't think of any elegant way to seek for a byte sequence in a byte array. (Could be used to seek for a known byte sequence representing the desired character representation in UTF-8.)</p>
",972,,,,,1/9/2013 5:53,Test serialization encoding,<java><xml><string><serialization><encoding>,2,0,,,
7720,1,149971,,8/11/2008 12:37,27,8337,"<p>I am writing an application in Java for the desktop using the Eclipse SWT library for GUI rendering.  I think SWT helps Java get over the biggest hurdle for acceptance on the desktop: namely providing a Java application with a consistent, responsive interface that looks like that belonging to any other app on your desktop.  However, I feel that packaging an application is still an issue.  </p>

<p>OS X natively provides an easy mechanism for wrapping Java apps in native application bundles, but producing an app for Windows/Linux that doesn't require the user to run an ugly batch file or click on a .jar is still a hassle.  Possibly that's not such an issue on Linux, where the user is likely to be a little more tech-savvy, but on Windows I'd like to have a regular .exe for him/her to run.</p>

<p>Has anyone had any experience with any of the .exe generation tools for Java that are out there?  I've tried JSmooth but had various issues with it.  Is there a better solution before I crack out Visual Studio and roll my own?</p>

<p><strong>Edit:</strong>  I should perhaps mention that I am unable to spend a lot of money on a commercial solution.</p>
",998,,56285,alexmcchessers,4/26/2010 11:02,8/31/2012 8:39,Packaging Java apps for the Windows/Linux desktop,<java><windows><swt><executable><software-distribution>,16,1,24,,
