Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"143429","1","143439","","2008-09-27 11:11:00","21","10257","<p>We all know that commenting our code is an important part of coding style for making our code understandable to the next person who comes along, or even ourselves in 6 months or so.</p>

<p>However, sometimes a comment just doesn't cut the mustard.  I'm not talking about obvious jokes or vented frustraton, I'm talking about comments that appear to be making an attempt at explanation, but do it so poorly they might as well not be there.  Comments that are <strong>too short</strong>, are <strong>too cryptic</strong>, or are <strong>just plain wrong</strong>.  </p>

<p>As a cautonary tale, could you share something you've seen that was really just <strong>that bad</strong>, and if it's not obvious, show the code it was referring to and point out what's wrong with it?  What <strong>should</strong> have gone in there instead?</p>

<p>See also: </p>

<ul>
<li><a href=""http://stackoverflow.com/questions/163600/when-not-to-comment-code"">When NOT to comment your code</a></li>
<li><a href=""http://stackoverflow.com/questions/121945/how-do-you-like-your-comments-best-practices"">How do you like your comments? (Best Practices)</a></li>
<li><a href=""http://stackoverflow.com/questions/184618/what-is-the-best-comment-in-source-code-you-have-ever-encountered"">What is the best comment in source code you have ever encountered?</a></li>
</ul>
","21632","Adam Bellaire","102937","Adam Bellaire","2011-10-05 05:57:51","2011-10-05 05:57:51","What's the least useful comment you've ever seen?","<coding-style><comments>","101","4","26","2011-10-05 05:57:58","2008-10-03 20:56:47"
"157167","1","","","2008-10-01 11:18:21","0","203","<p>Is it practical (or possible) to create a Websphere Portlet for a Classic ASP website?</p>
","24096","Little JB","","","","2008-10-01 12:12:40","Websphere with Classic ASP","<asp-classic><websphere>","1","","","",""
"165230","1","165259","","2008-10-03 00:30:37","17","8524","<p>I've been a web developer for almost a decade.  I've mostly used classic ASP/JavaScript and I'd like to move into Java based apps.</p>

<p>I have a decent understanding of Java itself (enough to know how to lookup what I don't know) and I spent some time doing minor work on a JSF/Spring/Hibernate app, but from what a trusted coworker told me, this application is the example of what <strong>not</strong> to do.</p>

<p>I want to learn the really hardcore stuff (EJBs, HA Clustering, etc), but I know I have to walk before I can run.  Is the Sun Tutorial the best place to start?  Or is there an definitive book (like K&amp;R for C or Gang of Four for design patterns) that I should buy?</p>
","24652","Nick","17205","Alan","2008-10-04 19:38:49","2011-11-21 13:39:43","Is the offical Sun Java EE tutorial the best way to learn how to make Java web apps?","<java><books><tutorials><java-ee>","8","","14","2012-01-06 15:49:47",""
"177691","1","","","2008-10-07 09:00:26","0","1505","<p>Because now I use IBM Rational Application Development (RAD) it very slow in my mind
(my notebook -- RAM 2 GB,  CPU Intel Core 2 Duo 2.00GHz and Windows XP sp2). 
Otherwise, I have many  problem
such as many time my workspace was crash, sometime error while generate client test and etc.</p>

<p>So, I wish to know what  IDE that you favorite use for develop with Websphere Application Server.</p>
","24550","Fuangwith S.","15100","Shimi Bandiel","2008-10-07 09:24:55","2010-08-07 13:57:33","What is your favorite IDE for develop with Websphere Application Server?","<ide><websphere><rad>","6","","","2011-09-01 13:31:26",""
"194812","1","","","2008-10-11 23:17:53","2499","555391","<p>I'm trying to amass a list of programming books that are freely available on the Internet. The books can be about a particular programming language or about computers in general. </p>

<p>What are some freely available programming books on the Internet?</p>
","11110","Karan Bhangui","246246","Eddie","2012-02-24 22:15:29","2012-03-01 09:10:56","List of freely available programming books","<books><ebook><creative-commons>","112","0","5812","2012-02-29 19:20:39","2008-10-12 00:35:58"
"205374","1","205394","","2008-10-15 16:17:35","3","4163","<p>I have created an <strong>application which needs 'hand-over'</strong> to the support group in the next month.</p>

<p>The application is <strong>fairly small</strong> (2 months development), and consists of two client side applications and a database, it's written in c# for the windows platform.</p>

<p><strong>I have a broad idea</strong> of what to include in a support document, but I haven't needed to make very many support documents so far in my career and I want a solid list of items to include. </p>

<p>I guess my <strong>goal</strong> is to make the <strong>lives of everyone</strong> in the support group <strong>easier</strong> and as stress free as possible.</p>

<p><strong>So I guess my questions are:</strong></p>

<ol>
<li><p>What should a support document absolutely contain</p></li>
<li><p>What additional things have you put in support documents to make them extra useful.</p></li>
<li><p>What other activities can be done before hand-over to make all our lives easier?</p></li>
</ol>
","18818","Rathboma","","","","2009-12-01 01:18:29","What are the core elements to include in Support Documentation?","<c#><.net><documentation><application><support>","5","","3","",""
"214057","1","217524","","2008-10-17 22:32:21","5","1039","<p>Here's my new project: an open canvas, right in front of me. In a few days, I will start to code a big web application. It will start small, with few modules, only myself as developer and engineer, but hopefully it will grow and grow.</p>

<p>Even though I am an active Java Developer, It's been a while since I last created a Web Application from scratch. At the time, Struts and J2EE was the way to go, but I see a lot of new frameworks, new libraries raising everyday. </p>

<p>What I ask here is for your advice: what do you currently use for web development, why do you think it's relevant and if you would choose the same tools if you were starting on a new project. Everything counts: from tips on the UI to the backend. Common gotchas, patterns, everything you can think may be relevant.</p>

<p>I am a Java developer and, I am naturally inclined to do everything using Java-related technologies (J2SE, J2EE, Groovy, Grails, JRuby, Jython, JWhatever, and so on...), but please be welcome to post whatever you use, being related to Java or not.</p>

<p>My goal here is to build a bucket of what people are doing and why they are doing to help me evaluate which way should I go, and which I shouldn't - and why. After all, it's not everyday that you have such freedom to decide.</p>

<p>Thanks in advance!</p>
","14540","Felipe Coury","18866","Jeremy Cantrell","2008-10-18 06:10:36","2008-10-20 04:53:16","What do you use for web development and why you think it rocks?","<web-development><architecture><frameworks><polls>","14","3","7","",""
"215232","1","223145","","2008-10-18 16:33:07","2","203","<p>My organization is starting to take SOA seriously but before we jump in one of the components we seem to be missing is a rock solid repository for tracking these services across the enterprise.  Can anyone suggest a product that they have worked with?  If the product is also an ESB please mention that in your answer.</p>
","2701","Toran Billups","","","","2009-12-09 13:42:14","What repository products are available for keeping track of web services?","<esb>","3","","1","",""
"232839","1","","","2008-10-24 08:34:33","0","472","<p>For explaining my situation, I will start with an example.
Let's say there are two WS(WebService) clients A &amp; B with trusted certificates. Now in normal excecution when both A &amp; B make a call to WAS(Websphere application server) through SSL where my WebServices reside, WAS trusts both of them because of their trusted certificates and alows access to required WS. What we like to have is to allow only A not B to access WS on WAS, so after certificates verification is it possible to extracts user info (from WAS admin or Java way)which will be mapped to role defined in WAS for accessing WS</p>
","","Nitin","","","","2010-09-27 17:52:53","How to extracts additional info from SSL certificate to allow access to WebService client on WAS","<java><web-services><ssl><websphere>","3","","","",""
"265431","1","","","2008-11-05 15:13:43","0","512","<p>Does anyone know of an e-commerce / cart solution which allows multiple shipping addresses per order, as well as multiple shipping methods per order?  For example, customer adds 2 of Product A to their cart and upon checkout wants one to ship to Colorado via UPS ground and one to ship to California via UPS second day air.  </p>

<p>Open Source or Proprietary Solutions on Windows or *nix are fine.<br />
Thanks!</p>
","","Mike","","","","2012-04-17 17:56:30","E-Commerce / Shopping Cart with Multiple Ship Methods per Order","<e-commerce><cart><shopping>","3","","","",""
"325202","1","","","2008-11-28 07:12:01","12","46545","<p>I have a Jar file, which contains other nested Jars. When I invoke the new JarFile() constructor on this file, I get an exception which says ""java.util.zip.ZipException: error in opening zip file"". When I manually unzip the contents of this Jar file and zip it up again, it works fine. Also, please note that this exception is seen only on websphere 6.1.0.7 and higher versions. The same thing works fine on tomcat and weblogic. 
Also, when I use JarInputStream instead of JarFile, I am able to read the contents of the Jar file without any exceptions.
Please let me know if you have any ideas on how this can be fixed.</p>

<p>Thanks,
Sandhya</p>
","41536","","","","","2011-09-22 01:57:55","java.util.zip.ZipException: error in opening zip file","<java>","5","2","2","",""
"327801","1","327901","","2008-11-29 18:16:37","1","1347","<p>A common argument against using .NET for high volume, transactional enterprise systems is that IIS does not compare to the likes of Weblogic and websphere for java. Is this true? Unfortunately for .NET web apps IIS is the only option as an application server. Does anyone have any arguments against this? I would like to promote .NET more in the enterprise and need some help putting my case forward.</p>

<p>Thanks</p>
","33764","NabilS","","","","2011-05-26 13:14:35","How does IIS compare in terms of performance and scalability to weblogic and websphere for enterprise web applications?","<java><.net><iis><websphere><weblogic>","7","","","",""
"334987","1","","","2008-12-02 18:40:37","4","1341","<p>Currently, we are using WebSphere Portal v5.1, and the URLs are about a un-friendly as a URL could get.
For example: </p>

<p><a href=""http://www.foo.com/wsps/portal/!ml/QjzQ0IhyR0UAkc39Aw!!/delta/base64xml/L3dJ82XzBfQ1A"" rel=""nofollow"">http://www.foo.com/wsps/portal/!ml/QjzQ0IhyR0UAkc39Aw!!/delta/base64xml/L3dJ82XzBfQ1A</a>! </p>

<p>I have removed a bunch of the characters, but you get the idea.
One of our frustrations is that the URLs often end with punctuation. The users of the portal try to cut/paste from the address bar into emails or word docs, and the trailing exclamation mark does not become part of the generated hyperlink (a feature of Microsoft products, this happens with Outlook, Word, Powerpoint, etc).</p>

<p>As for solutions, we've been advised that the URL mapping feature of WPS does not scale well, and I don't believe that has changed much with the more recent releases.</p>

<p>So, back to the question. Are there other portal products that manage URLs better? or is this simply the nature of the portal beast?</p>
","32142","Liggy","","","","2009-02-06 12:27:40","Are there any Portal products that can generate friendly URLs?","<websphere><friendly-url><portal>","3","1","1","",""
"412406","1","422834","","2009-01-05 06:22:06","0","353","<p>i am looking for a client application that can connect to an EAR file within websphere and give me information like memory usage, heap size, etc.</p>
","19875","syalam","","","","2009-01-08 01:02:26","are there any free websphere 5 profiling tools?","<java-ee><profiling><websphere>","2","","","",""
"472538","1","472561","","2009-01-23 11:00:30","3","296","<p>Share anything you find important and think could be of use to others.</p>

<p>Some questions you <em>might</em> want to answer:</p>

<ul>
<li>Do you use Jetty to run the application during development?</li>
<li>Do you use another database than MySQL during development?</li>
<li>How do you manage dependencies?</li>
<li>Do you use Eclipse, NetBeans or other IDE's? Why did you make your IDE choices?</li>
<li>Do you use a lot of plug ins for your IDE? Do they require a manual installation for new developers?</li>
<li>Do you use Eclipse Mylyn or something similar? Why/Why not?</li>
<li>How do you handle logging for you database, web server, used frameworks and your own produced code? Are you handling it any differently during development than during production?</li>
<li>What do you use as a file revision control system? And why did you pick that technology?</li>
<li>How much do you use forums, IM and e-mail to communicate?</li>
<li>What do you document?  At which detail level? Is it due to ""real value"" or because you are fulfilling the requirements of Rational Unified Process (RUP), eXtreme Programming (XP) or the Waterfall project model or some other more or less formalized way of working?</li>
<li>How do you document? Wiki? Revision controlled word documents? UML?</li>
</ul>

<p>Those are not the final questions of course, feel free to improve this post as it's set as community wiki.</p>
","","user14070","","user14070","2009-01-23 12:14:19","2009-01-23 20:40:06","Smooth process during development of Java web applications - how are you doing it?","<java><web-development><web-applications><productivity>","5","","2","","2009-01-23 11:00:30"
"490547","1","","","2009-01-29 05:12:31","0","1008","<p>What's the difference between Pretest existing pooled connections and prestest new connections in websphere 6.1..and which option is best one?</p>

<p>can we enable both options?</p>
","","karthick prabhu","12704","","2010-02-04 13:59:19","2010-02-04 13:59:19","What's the difference between Pretest existing pooled connections and prestest new connections in websphere 6.1","<hibernate><websphere><connection-pooling>","1","","","",""
"512807","1","512862","","2009-02-04 19:04:14","4","3747","<p>We are facing a choice to use IBM MQ over SFTP for file transfer. I've heard advantages of such approach, but I've never see anyone actually using it for a large files. </p>

<p>So main question: how well IMB MQ can handle transfer of large files (up to 100 MB)? Is it stable? It's from mainframe to UNIX server, if it does matter.</p>

<p>Thanks a lot.</p>
","62564","","214668","","2010-07-03 03:08:32","2010-10-11 20:05:58","IBM MQ for file transfer","<ftp><message-queue><file-transfer><websphere-mq><ibm-mq>","5","","3","",""
"513786","1","513947","","2009-02-04 22:59:22","0","655","<p>JBOSS is throwing a:</p>

<pre>
java.lang.NoSuchMethodError: org.w3c.dom.Document.getDocumentURI()Ljava/lang/String;
</pre>

<p>Error when loading a wsdl.  Can I configure it to prefer the library in my WAR instead of the system or app server lib?</p>
","22801","jon077","","","","2009-02-05 00:02:11","How do you configure JBOSS to use the xml lib in the web app?","<java><jboss>","1","","","",""
"519761","1","","","2009-02-06 10:08:12","3","1122","<p>I want to declare a new JNDI variable in the JBoss 4.0.5 server. Can someone please explain how this can be done?</p>

<p>waiting for your replies.</p>

<p>Thanks.</p>
","","Vraa","","","","2010-08-13 06:43:21","Declaring a JNDI variable in JBoss 4.0.5","<jboss><jndi>","3","","","",""
"547169","1","","","2009-02-13 18:42:25","11","7783","<p>I have a shutdown hook in my application (created using Runtime.getRuntime().addShutdownHook). However if I launch the application from within Eclipse, when it is shut-down the shutdown hook doesn't execute. </p>

<p>I think this is because Eclipse sends the equivalent of a force-kill signal to the process, which doesn't cause the shut-down hook to execute (equivalent of taskkill /F on Windows or kill -p on linux), though I'm not absolutely sure.</p>

<p>Does anyone know how to get around this? I'm running Windows (Vista), and I've a feeling it may be a Windows-specific issue, but I'm not sure (I read something about it a while back, but can't remember anything, only that nobody suggested a solution).</p>

<p>Thanks.</p>

<p>Neil.</p>
","","Neil","","","","2012-03-23 01:35:17","How to get shutdown hook to execute on a process launched from Eclipse","<java><eclipse><shutdown>","6","1","3","",""
"5013","1","","","2008-08-07 17:28:16","1","954","<p>What I'm doing wrong that I get the ADMA5026E error when deployment an application with the NetworkDeployment Console? </p>","527","","3","","2012-03-22 01:57:46","2012-03-22 01:57:46","Error ADMA5026E for WebSphere Application Server Network Deployment","<deployment><websphere>","1","1","","",""
"14837","1","14908","","2008-08-18 16:05:43","5","776","<p>I'm really interested in speech-to-text algorithms, but I'm not sure where to start studying up on them. A bunch of searching around led me to <a href=""http://cslu.cse.ogi.edu/HLTsurvey/download.html"" rel=""nofollow"">this</a>, but it's from 1996 and I'm fairly certain that there have been improvements since then.</p>

<p>Does anyone who has any experience with this sort of stuff have any recommendations for reading / source code to examine? Or just general advice on what I should be trying to learn about if I want to get into the world of writing speech recognition programs (sometimes it's hard to know what to search for if you don't have much knowledge about the domain).</p>

<p>Edit: I'd like to do something cross-platform, but for the moment I'd be targeting linux. </p>

<p>Edit 2: Thanks csmba for the well-thought out reply. At this point in time, I'm mainly interested in being able to create applications that allow automation, or execution of different commands through voice. So, a limited amount of recognizable commands being able to be strung together. An example would be a music player that took commands like ""Play the album Hello Everything by Squarepusher"", or an application launcher that allowed the user to create voice-shortcuts to launch specific apps.</p>

<p>I realize that it's a pretty giant problem, and that I have nowhere near the level of knowledge required right now to tackle implementing an entire recognition engine, although the techniques involved with doing so fascinate me, and it is something I'd like to work myself up to doing. In all likelihood, I'll probably end up picking up a book or two on the subject and studying up / playing with ""simple"" implementations in my free time.</p>
","242853","jdd","242853","jdd","2008-08-18 17:12:07","2008-10-22 20:56:00","How to get started with speech-to-text?","<language-agnostic><speech-recognition>","5","","4","",""
"55449","1","55509","","2008-09-10 22:45:31","41","12831","<p>I sometimes use the feature 'Reconcile Offline Work...' found in Perforce's P4V IDE to sync up any files that I have been working on while disconnected from the P4 depot. It launches another window that performs a 'Folder Diff'.</p>

<p>I have files I never want to check in to source control (like ones found in bin folder such as DLLs, code generated output, etc.) Is there a way to filter those files/folders out from appearing as ""new"" that might be added. They tend to clutter up the list of files that I am actually interesting in.  Does P4 have the equivalent of Subversion's 'ignore file' feature? </p>
","4872","Ray Vega","99834","","2010-08-11 13:26:56","2012-03-02 18:10:38","Can you ""ignore"" a file in Perforce?","<version-control><perforce><ignore>","11","2","11","",""
"78194","1","78227","","2008-09-16 23:03:26","0","1530","<p>my employer just asked me to run a timed batch process in a J2EE websphere application they have running. It's supposed to run a certain class at 1130 pm everyday.</p>

<p>I'm not very familiar with J2EE nor websphere server (or tomcat, in the develpment environment), and I've been digging around but all I've found is about the java timer class but not how to set it or invoke it.</p>

<p>It seems that editing the web.xml file is required as well.</p>

<p>Any help will be appreciated!</p>
","14284","","419","Kev","2008-09-17 02:00:51","2009-06-08 18:52:01","What tools are there for timed batch processes in J2EE?","<tomcat><java-ee><process><timer><websphere>","7","","","","2008-09-16 23:03:26"
"120797","1","120802","","2008-09-23 12:53:25","23","35627","<p>Many times, a Java app needs to connect to the Internet. The most common example happens when it is reading an XML file and needs to download its schema.</p>

<p>I am behind a proxy server. How do I set my JVM to use the proxy ?</p>
","15649","Leonel","","","","2011-11-03 20:48:10","How do I set the proxy to be used by the JVM","<java><proxy><jvm>","9","","10","",""
"158848","1","158905","","2008-10-01 17:47:08","7","3005","<p>I'm pulling my hair out on what should be an insanely simple problem.  We are running WebSphere IHS (Apache) through an F5 BigIP.  BigIP is doing the https translation for us.  Our url (changed for web, not valid) is https://superniftyserver.com/lawson/portal.</p>

<p>When someone types in just that without the slash after portal, Apache assumes ""portal"" to be a file and not a directory.   When Apache finds out what it is, it sends the 301 Permanent Redirect.  But since Apache knows only http, it sends the URL as <a href=""http://superniftyserver.com/lawson/portal/"" rel=""nofollow"">http://superniftyserver.com/lawson/portal/</a> which then creates problems.</p>

<p>So I tried a server level httpd.conf change for mod_rewrite, this is one of the dozens of combinations I've tried.</p>

<p>RewriteEngine  on
RewriteRule   ^/lawson/portal(.*)  /lawson/portal/$1</p>

<p>I also tried 
RewriteRule   ^/lawson/portal$  /lawson/portal/</p>

<p>Among many other things...  What am I missing?  </p>
","","Scott","3150","David G","2008-10-01 17:50:43","2011-03-17 15:28:34","mod_rewrite for trailing slash problem","<apache><mod-rewrite>","4","2","","",""
"161088","1","459217","","2008-10-02 06:25:49","3","1356","<p>I would really like to use SpringSource dm Server, but our customer requires us to run our apps on their application server (Websphere). Is there a way to integrate SpringSource dm Server with other application servers? At least dm Server is build on OSGi, and many other application servers (including Websphere) are based on OSGi as well. Is it possible to run a SpringSource dm Server as a websphere component?</p>
","18722","cretzel","","","","2009-01-20 14:27:02","How to integrate a SpringSource dm Server into another OSGi-based application server?","<server><osgi><springsource><dm>","4","","1","",""
"170818","1","","","2008-10-04 18:39:27","5","1694","<p>Is there any real reason why no one makes there dynamic webpages in say c++ rather than interpreted languages like php that are many times slower?</p>

<p>I can see several reasons why I wouldn't mind my entire site being just one dll, with each page being represented by a function or something.</p>

<ul>
<li>Varibles can be shared between page requests, and even across multiple different pages, eg a list of all the users currently logged in</li>
<li>Multithreading would be easier. Eg allowing multiple pages to be requested at once, since everything is running in the same program, varibles can be shared easily (eg lock handles) (does php even support doing this at all?).</li>
<li>Resources can be pooled far more easily, eg db connections which under php are oftern created for every page request</li>
</ul>

<p>And if there isn't a real reason why not, then how could I go about doing it?</p>
","6266","Fire Lancer","1666","SCdF","2008-10-04 21:13:39","2008-11-18 10:21:53","Websites - server side coding - why not languages like Java, c++, etc?","<web-development>","17","1","4","",""
"180978","1","180996","","2008-10-08 00:45:05","10","1211","<p>I have many years of experience in Java including Swing, Servlet and JDBC, but have never programmed for a J2EE server.</p>

<p>Many job advertisements from large companies are specifically asking for J2EE experience.  Are there specific skills or development environments that I should learn to qualify for these kinds of jobs?</p>
","20621","Ken","17205","Alan","2008-10-08 15:12:31","2008-10-08 15:12:31","J2EE Programming Skills","<java><java-ee>","6","1","11","",""
"217827","1","220089","","2008-10-20 09:04:09","13","11888","<p>We are looking for a open source J2EE Application server for log budget deployments. We are considering JBoss and Glassfish. Which is the best open source application server? Any comparative study available?</p>
","10980","Rejeev Divakaran","1793","Martin Klinke","2008-10-20 09:16:05","2009-03-11 20:52:44","Which is the best Open source application server?","<java>","7","","4","2011-09-20 14:17:37",""
"236496","1","236550","","2008-10-25 14:38:16","3","319","<p>I have a client server application that sends XML over TCP/IP from client to server and then broadcast out to other clients.  How do i know at what the minimun size of the XML that would warrant a performance improvement by compression the XML rather than sending over the regular stream.</p>

<p>Are there any good metrics on this or examples?</p>
","4653","ak","","","","2008-10-25 16:52:55","Compression XML metrics . ","<c#><xml><winforms><vb6><compression>","5","","","",""
"272194","1","272747","","2008-11-07 14:21:54","1","721","<p>My webapp is part of a larger EAR that is deployed into a websphere server. The server hosts number of other apps on the same virtual server. My webapp has some initialisation/health checks in a servletContextListener->contextInitialized method. I want to make the webapp unavailable if initialisation/health checks fail. What is a realiable way of doing this? Will throwing a RuntimeException from within contextInitialized  suffice? Is the rest of the EAR still expected to be available? Thank you.</p>
","33434","","","","","2008-11-07 17:03:01","Abort java webapp on startup","<java><websphere><web-applications>","2","","1","","2008-11-07 14:21:54"
"298534","1","","","2008-11-18 11:45:49","2","30954","<p>IBM Rational Application Developer is very slow and has many problems.</p>

<p>I tried to use ant scripts to build EAR/WAR files for Websphere Application Server
but it did not work.</p>
","24550","Fuangwith S.","142446","Ken G","2011-12-21 20:25:25","2012-01-24 20:52:47","How to build EAR/WAR for Websphere Application Server by Eclipse?","<java><java-ee><websphere><ibm>","7","4","3","",""
"344107","1","344163","","2008-12-05 15:12:15","5","338","<p>Are there any what in the Java community would be called ""application servers"" for .NET? Similar to Tomcat, Resin, and Jetty. I'm not interested in a JSP equivalent, I'm looking for a servlet-based technology for XML/HTTP transaction processing (no UI).</p>

<p>If there is not a product like this, what would a good stack be to emulate this?</p>

<p>Microsoft appears to have dodged this by saying that Window Server + .NET + IIS + your code = app server, but it seems there is a lot of plumbing code that has to be written in order to get to an equivalent place as say Tomcat.</p>
","10588","Taylor","","","","2008-12-05 18:57:18","Is there a .NET analogue for Java app servers?","<java><.net><servlets>","5","","1","",""
